date_key,full_date,year,month,day,day_of_week,is_weekend,is_finals
1,2012-01-01,2012,1,1,Sunday,1,0
2,2012-01-02,2012,1,2,Monday,0,0
3,2012-01-03,2012,1,3,Tuesday,0,0
4,2012-01-04,2012,1,4,Wednesday,0,0
5,2012-01-05,2012,1,5,Thursday,0,0
6,2012-01-06,2012,1,6,Friday,0,0
7,2012-01-07,2012,1,7,Saturday,1,0
8,2012-01-08,2012,1,8,Sunday,1,0
9,2012-01-09,2012,1,9,Monday,0,0
10,2012-01-10,2012,1,10,Tuesday,0,0
11,2012-01-11,2012,1,11,Wednesday,0,0
12,2012-01-12,2012,1,12,Thursday,0,0
13,2012-01-13,2012,1,13,Friday,0,0
14,2012-01-14,2012,1,14,Saturday,1,0
15,2012-01-15,2012,1,15,Sunday,1,0
16,2012-01-16,2012,1,16,Monday,0,0
17,2012-01-17,2012,1,17,Tuesday,0,0
18,2012-01-18,2012,1,18,Wednesday,0,0
19,2012-01-19,2012,1,19,Thursday,0,0
20,2012-01-20,2012,1,20,Friday,0,0
21,2012-01-21,2012,1,21,Saturday,1,0
22,2012-01-22,2012,1,22,Sunday,1,0
23,2012-01-23,2012,1,23,Monday,0,0
24,2012-01-24,2012,1,24,Tuesday,0,0
25,2012-01-25,2012,1,25,Wednesday,0,0
26,2012-01-26,2012,1,26,Thursday,0,0
27,2012-01-27,2012,1,27,Friday,0,0
28,2012-01-28,2012,1,28,Saturday,1,0
29,2012-01-29,2012,1,29,Sunday,1,0
30,2012-01-30,2012,1,30,Monday,0,0
31,2012-01-31,2012,1,31,Tuesday,0,0
32,2012-02-01,2012,2,1,Wednesday,0,0
33,2012-02-02,2012,2,2,Thursday,0,0
34,2012-02-03,2012,2,3,Friday,0,0
35,2012-02-04,2012,2,4,Saturday,1,0
36,2012-02-05,2012,2,5,Sunday,1,0
37,2012-02-06,2012,2,6,Monday,0,0
38,2012-02-07,2012,2,7,Tuesday,0,0
39,2012-02-08,2012,2,8,Wednesday,0,0
40,2012-02-09,2012,2,9,Thursday,0,0
41,2012-02-10,2012,2,10,Friday,0,0
42,2012-02-11,2012,2,11,Saturday,1,0
43,2012-02-12,2012,2,12,Sunday,1,0
44,2012-02-13,2012,2,13,Monday,0,0
45,2012-02-14,2012,2,14,Tuesday,0,0
46,2012-02-15,2012,2,15,Wednesday,0,0
47,2012-02-16,2012,2,16,Thursday,0,0
48,2012-02-17,2012,2,17,Friday,0,0
49,2012-02-18,2012,2,18,Saturday,1,0
50,2012-02-19,2012,2,19,Sunday,1,0
51,2012-02-20,2012,2,20,Monday,0,0
52,2012-02-21,2012,2,21,Tuesday,0,0
53,2012-02-22,2012,2,22,Wednesday,0,0
54,2012-02-23,2012,2,23,Thursday,0,0
55,2012-02-24,2012,2,24,Friday,0,0
56,2012-02-25,2012,2,25,Saturday,1,0
57,2012-02-26,2012,2,26,Sunday,1,0
58,2012-02-27,2012,2,27,Monday,0,0
59,2012-02-28,2012,2,28,Tuesday,0,0
60,2012-02-29,2012,2,29,Wednesday,0,0
61,2012-03-01,2012,3,1,Thursday,0,0
62,2012-03-02,2012,3,2,Friday,0,0
63,2012-03-03,2012,3,3,Saturday,1,0
64,2012-03-04,2012,3,4,Sunday,1,0
65,2012-03-05,2012,3,5,Monday,0,0
66,2012-03-06,2012,3,6,Tuesday,0,0
67,2012-03-07,2012,3,7,Wednesday,0,0
68,2012-03-08,2012,3,8,Thursday,0,0
69,2012-03-09,2012,3,9,Friday,0,0
70,2012-03-10,2012,3,10,Saturday,1,0
71,2012-03-11,2012,3,11,Sunday,1,0
72,2012-03-12,2012,3,12,Monday,0,0
73,2012-03-13,2012,3,13,Tuesday,0,0
74,2012-03-14,2012,3,14,Wednesday,0,0
75,2012-03-15,2012,3,15,Thursday,0,0
76,2012-03-16,2012,3,16,Friday,0,0
77,2012-03-17,2012,3,17,Saturday,1,0
78,2012-03-18,2012,3,18,Sunday,1,0
79,2012-03-19,2012,3,19,Monday,0,0
80,2012-03-20,2012,3,20,Tuesday,0,0
81,2012-03-21,2012,3,21,Wednesday,0,0
82,2012-03-22,2012,3,22,Thursday,0,0
83,2012-03-23,2012,3,23,Friday,0,0
84,2012-03-24,2012,3,24,Saturday,1,0
85,2012-03-25,2012,3,25,Sunday,1,0
86,2012-03-26,2012,3,26,Monday,0,0
87,2012-03-27,2012,3,27,Tuesday,0,0
88,2012-03-28,2012,3,28,Wednesday,0,0
89,2012-03-29,2012,3,29,Thursday,0,0
90,2012-03-30,2012,3,30,Friday,0,0
91,2012-03-31,2012,3,31,Saturday,1,0
92,2012-04-01,2012,4,1,Sunday,1,0
93,2012-04-02,2012,4,2,Monday,0,0
94,2012-04-03,2012,4,3,Tuesday,0,0
95,2012-04-04,2012,4,4,Wednesday,0,0
96,2012-04-05,2012,4,5,Thursday,0,0
97,2012-04-06,2012,4,6,Friday,0,0
98,2012-04-07,2012,4,7,Saturday,1,0
99,2012-04-08,2012,4,8,Sunday,1,0
100,2012-04-09,2012,4,9,Monday,0,0
101,2012-04-10,2012,4,10,Tuesday,0,0
102,2012-04-11,2012,4,11,Wednesday,0,0
103,2012-04-12,2012,4,12,Thursday,0,0
104,2012-04-13,2012,4,13,Friday,0,0
105,2012-04-14,2012,4,14,Saturday,1,0
