match_key,season_key,venue_key,date_key,home_team_key,away_team_key,round,roundname,home_goals,home_behinds,home_total_score,away_goals,away_behinds,away_total_score,winning_team_key,margin,is_final,is_grand_final,attendance
1456,1,20,84,7.0,16.0,1,Round 1,5.0,7.0,37,14.0,16.0,100,16.0,63,0,0,
1458,1,12,89,14.0,3.0,1,Round 1,12.0,9.0,81,18.0,17.0,125,3.0,44,0,0,
1459,1,12,90,10.0,4.0,1,Round 1,20.0,17.0,137,16.0,19.0,115,10.0,22,0,0,
1460,1,12,91,11.0,2.0,1,Round 1,11.0,12.0,78,17.0,17.0,119,2.0,41,0,0,
1461,1,7,91,9.0,1.0,1,Round 1,10.0,8.0,68,19.0,23.0,137,1.0,69,0,0,
1463,1,21,91,6.0,8.0,1,Round 1,16.0,9.0,105,15.0,11.0,101,6.0,4,0,0,
1462,1,15,91,12.0,5.0,1,Round 1,15.0,12.0,102,14.0,20.0,104,5.0,2,0,0,
1464,1,15,92,18.0,17.0,1,Round 1,12.0,15.0,87,21.0,10.0,136,17.0,49,0,0,
1465,1,3,92,13.0,15.0,1,Round 1,13.0,11.0,89,13.0,7.0,85,13.0,4,0,0,
1466,1,24,96,2.0,3.0,2,Round 2,9.0,9.0,63,23.0,16.0,154,3.0,91,0,0,
1467,1,15,98,5.0,13.0,2,Round 2,16.0,15.0,111,13.0,8.0,86,5.0,25,0,0,
1468,1,19,98,16.0,6.0,2,Round 2,14.0,10.0,94,12.0,9.0,81,16.0,13,0,0,
1469,1,21,98,17.0,11.0,2,Round 2,25.0,16.0,166,9.0,4.0,58,17.0,108,0,0,
1471,1,3,98,1.0,18.0,2,Round 2,11.0,16.0,82,9.0,10.0,64,1.0,18,0,0,
1470,1,12,98,4.0,14.0,2,Round 2,12.0,13.0,85,8.0,16.0,64,4.0,21,0,0,
1472,1,5,99,12.0,7.0,2,Round 2,28.0,15.0,183,8.0,6.0,54,12.0,129,0,0,
1473,1,15,99,15.0,9.0,2,Round 2,21.0,13.0,139,7.0,5.0,47,15.0,92,0,0,
1474,1,12,100,8.0,10.0,2,Round 2,14.0,8.0,92,13.0,12.0,90,8.0,2,0,0,
1493,1,12,104,3.0,4.0,3,Round 3,18.0,14.0,122,9.0,8.0,62,3.0,60,0,0,
1494,1,12,105,14.0,11.0,3,Round 3,20.0,13.0,133,11.0,8.0,74,14.0,59,0,0,
1511,1,3,105,13.0,16.0,3,Round 3,12.0,11.0,83,16.0,9.0,105,16.0,22,0,0,
1512,1,21,105,6.0,2.0,3,Round 3,8.0,16.0,64,5.0,5.0,35,6.0,29,0,0,
1513,1,7,105,9.0,5.0,3,Round 3,13.0,10.0,88,15.0,15.0,105,5.0,17,0,0,
1514,1,15,105,18.0,15.0,3,Round 3,5.0,10.0,40,15.0,13.0,103,15.0,63,0,0,
1521,1,6,106,7.0,17.0,3,Round 3,10.0,9.0,69,23.0,12.0,150,17.0,81,0,0,
1522,1,12,106,10.0,1.0,3,Round 3,21.0,14.0,140,12.0,12.0,84,10.0,56,0,0,
1523,1,15,106,12.0,8.0,3,Round 3,20.0,11.0,131,16.0,18.0,114,12.0,17,0,0,
1524,1,15,111,15.0,6.0,4,Round 4,11.0,13.0,79,14.0,8.0,92,6.0,13,0,0,
1525,1,12,112,3.0,5.0,4,Round 4,11.0,13.0,79,15.0,19.0,109,5.0,30,0,0,
1526,1,15,112,4.0,13.0,4,Round 4,14.0,13.0,97,10.0,13.0,73,4.0,24,0,0,
1527,1,3,112,1.0,7.0,4,Round 4,13.0,18.0,96,7.0,8.0,50,1.0,46,0,0,
1529,1,24,112,2.0,9.0,4,Round 4,17.0,9.0,111,6.0,10.0,46,2.0,65,0,0,
1528,1,21,112,17.0,10.0,4,Round 4,5.0,21.0,51,5.0,16.0,46,17.0,5,0,0,
1530,1,9,113,8.0,14.0,4,Round 4,11.0,9.0,75,9.0,11.0,65,8.0,10,0,0,
1531,1,19,113,16.0,12.0,4,Round 4,17.0,11.0,113,10.0,17.0,77,16.0,36,0,0,
1532,1,12,113,11.0,18.0,4,Round 4,9.0,13.0,67,13.0,10.0,88,18.0,21,0,0,
1533,1,12,116,4.0,5.0,5,Round 5,11.0,14.0,80,11.0,13.0,79,4.0,1,0,0,
1534,1,21,118,6.0,3.0,5,Round 5,7.0,15.0,57,10.0,5.0,65,3.0,8,0,0,
1546,1,13,119,7.0,18.0,5,Round 5,9.0,8.0,62,15.0,14.0,104,18.0,42,0,0,
1547,1,15,119,12.0,9.0,5,Round 5,17.0,25.0,127,13.0,15.0,93,12.0,34,0,0,
1548,1,12,119,11.0,15.0,5,Round 5,10.0,6.0,66,12.0,12.0,84,15.0,18,0,0,
1549,1,24,119,2.0,8.0,5,Round 5,4.0,17.0,41,12.0,7.0,79,8.0,38,0,0,
1550,1,27,120,10.0,16.0,5,Round 5,10.0,9.0,69,16.0,10.0,106,16.0,37,0,0,
1551,1,15,120,14.0,17.0,5,Round 5,14.0,13.0,97,16.0,11.0,107,17.0,10,0,0,
1552,1,3,120,1.0,13.0,5,Round 5,16.0,14.0,110,14.0,7.0,91,1.0,19,0,0,
1553,1,15,125,18.0,4.0,6,Round 6,11.0,11.0,77,15.0,8.0,98,4.0,21,0,0,
