player_key,player_name,first_name,last_name,dob,height_cm,weight_kg,position,draft_year,draft_pick
1,"Aarts, Jake",Jake,Aarts,,,,,,
2,"Abbott, Ryan",Ryan,Abbott,,,,,,
3,"Ablett, Gary",Gary,Ablett,,,,,,
4,"Acres, Blake",Blake,Acres,,,,,,
5,"Adams, Jed",Jed,Adams,,,,,,
6,"Adams, Leigh",Leigh,Adams,,,,,,
7,"Adams, Marcus",Marcus,Adams,,,,,,
8,"Adams, Oscar",Oscar,Adams,,,,,,
9,"Adams, Taylor",Taylor,Adams,,,,,,
10,"Adcock, Jed",Jed,Adcock,,,,,,
11,"Addison, Dylan",Dylan,Addison,,,,,,
12,"Ah Chee, Brendon",Brendon,Ah Chee,,,,,,
13,"Ah Chee, Callum",Callum,Ah Chee,,,,,,
14,"Ahern, Paul",Paul,Ahern,,,,,,
15,"Ainsworth, Ben",Ben,Ainsworth,,,,,,
16,"Ainsworth, Brayden",Brayden,Ainsworth,,,,,,
17,"Aish, James",James,Aish,,,,,,
18,"Aleer, Leek",Leek,Aleer,,,,,,
19,"Alger, Jasper",Jasper,Alger,,,,,,
20,"Aliir, Aliir",Aliir,Aliir,,,,,,
21,"Allan, Bo",Bo,Allan,,,,,,
22,"Allan, Edward",Edward,Allan,,,,,,
23,"Allen, Jackson",Jackson,Allen,,,,,,
24,"Allen, Oscar",Oscar,Allen,,,,,,
25,"Allison, Jacob",Jacob,Allison,,,,,,
26,"Amartey, Joel",Joel,Amartey,,,,,,
27,"Ambrose, Patrick",Patrick,Ambrose,,,,,,
28,"Amiss, Jye",Jye,Amiss,,,,,,
29,"Amon, Karl",Karl,Amon,,,,,,
30,"Anderson, Angus",Angus,Anderson,,,,,,
31,"Anderson, Jed",Jed,Anderson,,,,,,
32,"Anderson, Noah",Noah,Anderson,,,,,,
33,"Andrew, Mac",Mac,Andrew,,,,,,
34,"Andrews, Harris",Harris,Andrews,,,,,,
35,"Angove, Cody",Cody,Angove,,,,,,
36,"Angwin, Ryan",Ryan,Angwin,,,,,,
37,"Annable, Daniel",Daniel,Annable,,,,,,
38,"Answerth, Noah",Noah,Answerth,,,,,,
39,"Anthony, John",John,Anthony,,,,,,
40,"Anthony, Liam",Liam,Anthony,,,,,,
41,"Apeness, Michael",Michael,Apeness,,,,,,
42,"Appleby, Flynn",Flynn,Appleby,,,,,,
43,"Archer, Jackson",Jackson,Archer,,,,,,
44,"Armfield, Dennis",Dennis,Armfield,,,,,,
45,"Armitage, David",David,Armitage,,,,,,
46,"Armstrong, Harry",Harry,Armstrong,,,,,,
47,"Armstrong, Tony",Tony,Armstrong,,,,,,
48,"Arnot, Matt",Matt,Arnot,,,,,,
49,"Ash, Lachie",Lachie,Ash,,,,,,
50,"Ashby, Jason",Jason,Ashby,,,,,,
51,"Ashcroft, Levi",Levi,Ashcroft,,,,,,
52,"Ashcroft, Will",Will,Ashcroft,,,,,,
53,"Astbury, David",David,Astbury,,,,,,
54,"Atkins, Rory",Rory,Atkins,,,,,,
55,"Atkins, Tom",Tom,Atkins,,,,,,
56,"Atley, Joe",Joe,Atley,,,,,,
57,"Atley, Shaun",Shaun,Atley,,,,,,
58,"Austin, Logan",Logan,Austin,,,,,,
59,"Austin, Mark",Mark,Austin,,,,,,
60,"Aylett, Kurt",Kurt,Aylett,,,,,,
61,"Baguley, Mark",Mark,Baguley,,,,,,
62,"Bail, Rohan",Rohan,Bail,,,,,,
63,"Bailey, Max",Max,Bailey,,,,,,
64,"Bailey, Zac",Zac,Bailey,,,,,,
65,"Baker, Liam",Liam,Baker,,,,,,
66,"Baker, Oskar",Oskar,Baker,,,,,,
67,"Baldwin, Kaine",Kaine,Baldwin,,,,,,
68,"Balic, Harley",Harley,Balic,,,,,,
69,"Ball, Luke",Luke,Ball,,,,,,
70,"Ballantyne, Hayden",Hayden,Ballantyne,,,,,,
71,"Ballard, Charlie",Charlie,Ballard,,,,,,
72,"Ballard, Jacob",Jacob,Ballard,,,,,,
73,"Ballenden, Connor",Connor,Ballenden,,,,,,
74,"Balta, Noah",Noah,Balta,,,,,,
75,"Banch, Zac",Zac,Banch,,,,,,
76,"Banfield, Bailey",Bailey,Banfield,,,,,,
77,"Banfield, Todd",Todd,Banfield,,,,,,
78,"Banks, Sam",Sam,Banks,,,,,,
79,"Barlow, Michael",Michael,Barlow,,,,,,
80,"Barnett, Harry",Harry,Barnett,,,,,,
81,"Barrass, Tom",Tom,Barrass,,,,,,
82,"Barrett, Jake",Jake,Barrett,,,,,,
83,"Barry, Dom",Dom,Barry,,,,,,
84,"Bartel, Jimmy",Jimmy,Bartel,,,,,,
85,"Bartram, Clint",Clint,Bartram,,,,,,
86,"Bastinac, Ryan",Ryan,Bastinac,,,,,,
87,"Batchelor, Jake",Jake,Batchelor,,,,,,
88,"Bate, Matthew",Matthew,Bate,,,,,,
89,"Bateman, Chance",Chance,Bateman,,,,,,
90,"Battle, Josh",Josh,Battle,,,,,,
91,"Bauer, Jacob",Jacob,Bauer,,,,,,
92,"Bazzo, Rhett",Rhett,Bazzo,,,,,,
93,"Beams, Claye",Claye,Beams,,,,,,
94,"Beams, Dayne",Dayne,Beams,,,,,,
95,"Beasley, Hugh",Hugh,Beasley,,,,,,
96,"Bedendo, Dominic",Dominic,Bedendo,,,,,,
97,"Bedford, Toby",Toby,Bedford,,,,,,
98,"Beech, Jonathon",Jonathon,Beech,,,,,,
99,"Beecken, Luke",Luke,Beecken,,,,,,
100,"Begg, Aiden",Aiden,Begg,,,,,,
101,"Begley, Josh",Josh,Begley,,,,,,
102,"Bell, James",James,Bell,,,,,,
103,"Bell, Tom",Tom,Bell,,,,,,
104,"Bellchambers, Tom",Tom,Bellchambers,,,,,,
105,"Bennell, Harley",Harley,Bennell,,,,,,
106,"Bennell, Jamie",Jamie,Bennell,,,,,,
107,"Bergman, Miles",Miles,Bergman,,,,,,
108,"Bergman, Miller",Miller,Bergman,,,,,,
109,"Berry, Jarrod",Jarrod,Berry,,,,,,
110,"Berry, Joe",Joe,Berry,,,,,,
111,"Berry, Sam",Sam,Berry,,,,,,
112,"Berry, Tom",Tom,Berry,,,,,,
113,"Betts, Eddie",Eddie,Betts,,,,,,
114,"Bewick, Rohan",Rohan,Bewick,,,,,,
115,"Bewley, Brett",Brett,Bewley,,,,,,
116,"Bews, Jed",Jed,Bews,,,,,,
117,"Bianco, Trent",Trent,Bianco,,,,,,
118,"Bice, Riley",Riley,Bice,,,,,,
119,"Biggs, Shane",Shane,Biggs,,,,,,
120,"Billings, Jack",Jack,Billings,,,,,,
121,"Binns, Jaxon",Jaxon,Binns,,,,,,
122,"Birchall, Grant",Grant,Birchall,,,,,,
123,"Bird, Craig",Craig,Bird,,,,,,
124,"Black, Aaron",Aaron,Black,,,,,,
125,"Black, Simon",Simon,Black,,,,,,
126,"Blair, Jarryd",Jarryd,Blair,,,,,,
127,"Blake, Jason",Jason,Blake,,,,,,
128,"Blakely, Connor",Connor,Blakely,,,,,,
129,"Blakey, Nick",Nick,Blakey,,,,,,
130,"Blakiston, Lachlan",Lachlan,Blakiston,,,,,,
131,"Blamires, Tom",Tom,Blamires,,,,,,
132,"Blanck, James",James,Blanck,,,,,,
133,"Blease, Sam",Sam,Blease,,,,,,
134,"Blee, Nathan",Nathan,Blee,,,,,,
